,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
0,37.02203,138.7573533,,8.25898,5,5,4.166666667,5,3,5,4.5,1,5,5,1
1,75.6764,290.5257,3.18686,7.45321,5,5,4.666666667,5,4,5,4.75,4,5,5,1
2,60.8586,214.8923,2.86982,15.0019,5,5,4.333333333,5,3,5,4.5,2,5,5,1
3,34.2099,123.1764,1.95328,15.8052,5,5,4,5,4,4.5,4.5,1,5,5,1
4,76.0321,280.038,3.05391,17.622,5,5,4.833333333,5,5,3,4,3,5,5,1
5,39.7432,138.911,1.6036,5.6366,5,5,3.166666667,5,1,5,4,1,5,5,1
6,57.9012,203.05,5.36984,16.5858,5,5,3.333333333,5,5,3,4,1,5,5,1
7,60.057,225.073,4.9536,13.2528,5,5,2.166666667,5,5,3,4,1,5,5,1
8,107.932,384.792,2.9208,11.5847,5,5,2,5,5,3,4,5,5,5,1
9,61.131,210.916,2.52086,9.119,5,5,2,5,4,3,3.75,1,5,5,1
0,41.25649,124.6319533,,34.08992,2.5,1,1.666666667,2,2,2,2,4,4,1,2
1,60.8378,223.9969,3.47054,23.569,2.5,2,2.833333333,3,4,2,2.75,4,4,3,2
2,44.4298,154.3755,3.18707,11.6372,2.5,4,3.166666667,4,4,2,3,2,4,3,2
3,34.8936,119.5412,2.27003,10.2228,4,4,3,4,4,2,3,2,4,4,2
4,74.6868,283.1004,3.8198,27.3687,4,2,2.833333333,4,4,2,3,4,4,3,2
5,39.0206,138.7328,5.75271,5.7406,3.5,4,3,4,4,2,3,1,4,5,2
6,54.0668,192.329,4.31979,12.7696,4,4,3.166666667,4,4,2,3,2,4,4,2
7,43.0386,156.761,7.17071,13.1033,4.5,5,3,4,4,2,3,1,4,4,2
8,75.527,280.541,4.03724,31.2708,4,3,2.333333333,4,4,1.5,2.75,5,4,4,2
9,56.135,208.903,1.85245,18.32,2,4,2.666666667,4,4,1.5,2.75,3,4,4,2
0,35.69412,120.1999533,,14.81041,5,5,4.5,5,5,5,5,2,4,5,3
1,59.2903,218.7149,1.81989,15.16942,5,5,4.166666667,5,5,5,5,5,5,5,3
2,40.7844,146.4374,3.35321,6.2196,5,5,4.166666667,5,5,3.5,4.25,1,5,5,3
3,34.1716,119.1845,2.15342,14.1563,5,5,4.333333333,5,5,5,5,1,5,5,3
4,71.8954,271.3881,2.45346,14.3026,5,5,3.333333333,4,5,5,4.75,4,5,5,3
5,38.3527,136.2789,2.97085,14.4862,5,5,5,5,5,5,5,1,5,5,3
6,51.5766,191.618,2.03737,18.6356,5,5,4.333333333,5,5,5,5,1,5,5,3
7,44.8026,163.646,2.52061,12.8526,5,5,4.166666667,5,5,5,5,1,5,5,3
8,80.0969,300.652,2.52084,15.2533,5,5,3.166666667,5,5,4.5,4.75,4,5,5,3
9,37.3,131.628,2.20264,14.354,5,5,3.5,5,5,4.5,4.75,1,5,5,3
0,33.10667,123.3536533,,4.961736,5,5,4.833333333,5,4,5,4.75,1,5,5,4
1,57.431,220.9199,1.803364,15.75675,5,5,5,5,5,4.5,4.75,3,5,5,4
2,58.9657,154.4634,1.43581,7.1196,5,5,5,5,5,4.5,4.75,2,5,5,4
3,31.6349,121.0872,2.11898,4.5033,5,5,5,5,5,5,5,2,5,5,4
4,71.5266,279.3827,2.91928,7.8531,5,3,3.666666667,2,4,4.5,3.75,4,5,4,4
5,38.611,139.7949,1.58658,5.2199,3.5,5,5,5,5,5,5,1,5,5,4
6,49.176,192.326,1.88653,7.3033,5,5,5,5,5,5,5,2,5,5,4
7,40.3986,157.814,2.15283,6.5362,5,5,5,5,5,5,5,1,5,5,4
8,73.4619,284.852,2.88558,6.5062,5,5,5,5,5,5,5,5,5,5,4
9,43.3439,152.669,3.72006,4.0868,5,5,5,5,5,5,5,3,5,5,4
0,32.94581,123.3936533,,20.13656,5,5,4.166666667,5,5,5,5,1,5,5,5
1,55.4831,212.5456,1.82012,24.6375,5,5,4.333333333,5,5,5,5,1,5,5,5
2,36.0743,135.9997,1.45375,4.4705,5,5,4.166666667,5,5,4.5,4.75,1,5,5,5
3,31.0021,115.2928,2.0699,6.4359,4.5,5,4.333333333,5,5,4.5,4.75,1,5,5,5
4,70.949,277.4566,6.73633,8.2194,5,5,4.166666667,1,5,4.5,3.75,4,5,5,5
5,36.625,139.5194,1.52111,12.7572,5,5,4.333333333,5,5,5,5,1,5,5,5
6,48.7068,178.866,2.71993,15.5018,5,5,4.333333333,5,5,5,5,3,5,5,5
7,41.5405,158.688,2.40324,17.7188,3.5,5,4.166666667,5,5,5,5,1,5,5,5
8,70.9457,271.49,5.50333,35.0031,5,5,4.333333333,5,5,5,5,3,5,5,5
9,37.916,144.01,2.02086,18.4188,5,5,4.166666667,5,5,4.5,4.75,2,5,5,5
0,36.15476,121.5433533,,6.18707,4,3,3.666666667,3,4,4,3.75,2,5,4,6
1,111.9521,426.357,2.23744,5.53982,4,4,3.833333333,3,3,3.5,3.25,4,5,4,6
2,92.2457,353.1718,2.23644,0.9388,4,5,4.166666667,3,4,4,3.75,4,5,4,6
3,34.3908,116.6346,1.91987,3.904,4,5,4.333333333,3,4,3.5,3.5,1,5,4,6
4,73.8743,277.604,2.98663,7.4707,4,5,3.833333333,4,3,4,3.75,5,5,5,6
5,38.0282,135.144,2.45425,5.1376,4.5,5,4,3,4,3.5,3.5,2,5,5,6
6,50.8055,188.647,1.70273,3.6857,4.5,5,4,3,3,3.5,3.25,4,5,5,6
7,62.6583,230.213,2.85298,6.3028,4.5,5,3.833333333,4,3,3.5,3.5,4,5,5,6
8,118.8225,458.593,3.63577,5.8199,4,5,3.833333333,3,2,3.5,3,5,5,5,6
9,57.748,208.304,1.11943,3.419,4,5,4.5,4,3,3.5,3.5,2,5,5,6
0,35.67563,125.7640533,,6.07257,5,5,3,1,2,1.5,1.5,1,5,5,7
1,60.7216,236.6681,5.70405,4.6357,5,5,3,1,1,1.5,1.25,1,5,5,7
2,52.0726,199.619,4.83748,2.774,5,5,3.166666667,1,3,1,1.5,1,5,5,7
3,32.6555,123.6236,2.31991,3.9531,5,5,3.333333333,1,1,2.5,1.75,1,5,5,7
4,78.9293,282.4736,2.78566,12.9193,5,5,2.666666667,1,1,1.5,1.25,5,5,5,7
5,39.3555,139.6684,4.63656,-0.1608,5,5,3.333333333,1,2,4,2.75,1,5,5,7
6,50.6783,196.206,4.43731,6.0221,5,5,3,1,1,2,1.5,5,5,5,7
7,42.7074,166.187,2.78667,2.1389,5,5,3.333333333,2,1,3.5,2.5,1,5,5,7
8,73.3774,285.03,4.38664,8.3366,5,5,3.333333333,1,1,2.5,1.75,5,5,5,7
9,37.092,140.206,2.63762,8.553,5,5,3.666666667,2,1,2,1.75,2,5,5,7
0,118.83294,388.0291533,,12.95311,3,4,3.666666667,3,3,3.5,3.25,3,5,4,8
1,60.3665,222.6813,3.96997,11.1523,3,5,3.333333333,3,3,4,3.5,3,5,5,8
2,45.3961,151.9835,3.33594,10.3861,5,4,3.166666667,3,3,3.5,3.25,3,5,4,8
3,34.9284,121.4385,2.80305,6.9525,5,5,3.666666667,3,3,3.5,3.25,2,5,5,8
4,88.7022,306.0303,2.30364,14.0519,5,5,4,2,3,3,2.75,3,5,4,8
5,37.7914,134.723,2.95387,8.5936,4,5,4,3,3,4,3.5,1,5,5,8
6,52.345,185.808,2.80314,5.9873,5,5,3.666666667,3,3,3.5,3.25,2,5,5,8
7,47.1206,158.963,2.43666,6.2197,5,5,4,3,3,4,3.5,1,5,5,8
8,79.4218,287.742,2.68748,11.2528,5,4,3.666666667,3,3,4,3.5,3,4,4,8
9,37.911,134.161,3.11987,9.187,4.5,5,4,3,3,3.5,3.25,3,5,4,8
0,33.41023,121.0107533,,14.73528,5,5,4.666666667,4,5,3.5,4,2,5,5,9
1,56.7951,220.3674,2.76995,8.536,5,5,4.833333333,4,5,3.5,4,2,5,5,9
2,37.852,142.7374,2.68684,8.2193,5,5,4.833333333,5,5,4.5,4.75,1,5,5,9
3,34.6458,129.7079,2.1866,20.5191,5,5,4.833333333,5,5,3.5,4.25,1,5,5,9
4,69.6794,269.4306,4.61996,23.4682,4.5,5,4,4,5,4,4.25,4,5,4,9
5,38.9397,141.6787,2.61958,20.2861,4.5,5,3.833333333,5,5,3,4,1,5,5,9
6,47.6127,177.677,2.70361,20.9021,5,5,4.333333333,5,5,3.5,4.25,2,5,5,9
7,39.9853,150.694,5.43743,7.6186,4.5,5,4.5,5,5,2.5,3.75,1,5,5,9
8,79.4709,300.975,3.08659,14.9515,5,5,4,5,4,3.5,4,3,5,5,9
9,38.631,136.527,2.96999,18.101,4.5,5,4,4,4,2.5,3.25,2,5,5,9
0,47.55209,175.8789533,,10.63265,3,3,4.166666667,5,3,4,4,3,5,3,10
1,57.7924,222.614,3.32098,19.752,3,5,4.666666667,1,5,4.5,3.75,4,5,5,10
2,43.442,152.2284,2.30335,6.2362,5,5,5,1,5,4.5,3.75,1,5,5,10
3,33.9868,115.2571,3.41992,3.4393,5,5,5,5,4,4.5,4.5,1,5,5,10
4,91.6169,342.4983,2.70377,17.8019,5,3,3.333333333,3,2,3.5,3,5,5,3,10
5,37.6496,136.776,6.25289,14.2866,1,3,3.666666667,4,2,4,3.5,3,2,4,10
6,49.4529,192.51,3.67049,6.7039,5,5,4.833333333,5,5,4.5,4.75,1,5,5,10
7,41.1761,156.336,3.68742,7.0697,5,5,5,1,5,4,3.5,1,5,5,10
8,73.859,278.172,2.00287,15.8686,5,5,4.833333333,4,5,4.5,4.5,5,5,5,10
9,34.83,134.969,5.55312,7.7195,4.5,5,4.666666667,5,5,4,4.5,1,5,5,10
0,52.36614,151.2903533,,4.008578,2.5,2,1.666666667,2,2,1.5,1.75,2,1,1,11
1,57.9706,214.2808,1.703902,4.50618,2.5,4,2.833333333,4,3,3,3.25,2,3,4,11
2,160.5947,533.2298,1.60266,7.7361,4,2,4.166666667,5,4,2.5,3.5,4,5,4,11
3,35.9924,121.3238,1.45331,3.4565,4,5,5,5,5,4.5,4.75,1,5,5,11
4,71.2177,262.173,4.68736,10.8027,5,5,4.666666667,5,5,4,4.5,3,5,4,11
5,36.6927,133.419,1.03675,8.2365,5,5,5,5,5,5,5,1,5,5,11
6,50.8212,185.066,2.62059,10.2196,5,5,5,5,5,5,5,4,5,5,11
7,60.092,223.062,1.25295,7.8865,5,5,5,5,5,5,5,1,5,5,11
8,78.5297,284.371,1.45256,10.07,5,5,4.333333333,5,5,5,5,3,5,5,11
9,41.059,142.572,1.22055,5.4709,5,1,5,5,5,5,5,3,5,5,11
0,51.74711,125.0663533,,13.60464,4.5,3,2.5,2,1,2.5,2,3,5,3,12
1,68.7105,234.9227,3.68628,8.5191,4.5,3,3.166666667,5,1,5,4,2,5,4,12
2,78.8172,258.2355,3.20323,22.7184,4,5,4,2,4,5,4,2,5,5,12
3,36.4698,121.2393,2.58569,8.1202,5,5,4.166666667,2,4,5,4,2,5,5,12
4,91.9566,321.2869,6.85327,20.0019,5,4,3.666666667,3,3,1.5,2.25,4,5,4,12
5,40.2286,139.71,10.25277,7.9022,4,4,4,1,3,5,3.5,1,5,5,12
6,65.392,191.848,4.65347,15.9192,5,4,4.166666667,3,3,5,4,2,5,4,12
7,43.516,154.015,6.80259,23.002,3.5,5,4.166666667,2,2,5,3.5,1,5,3,12
8,93.729,340.068,4.95297,24.269,4.5,4,4.166666667,2,2,5,3.5,4,5,4,12
9,41.601,144.131,6.78649,11.469,3,3,3.333333333,2,4,4.5,3.75,3,5,2,12
0,174.61486,680.4451533,,14.5031,1.5,1,2.166666667,2,2,3,2.5,3,2,2,13
1,123.5468,435.4716,1.76998,11.6026,1.5,2,2.5,2,2,3,2.5,3,2,2,13
2,86.7973,231.695,1.31993,9.7352,2,2,2.5,2,2,3,2.5,3,2,2,13
3,113.2334,430.303,2.10337,8.7897,2,3,3,3,3,3,3,3,3,3,13
4,85.2451,296.46,3.35269,12.2522,2,1,2.666666667,2,2,3,2.5,3,3,3,13
5,41.1143,140.545,2.30357,8.3561,2,3,3.5,3,3,3,3,2,3,3,13
6,58.0175,207.88,1.53709,13.7,3,3,3.166666667,3,3,3,3,3,3,3,13
7,71.976,247.611,1.50425,14.6211,2,3,3.333333333,3,3,3,3,2,3,3,13
8,190.168,713.261,2.37073,8.67,2.5,3,3,3,3,3,3,4,3,3,13
9,119.979,449.217,1.82088,18.52,1,1,1.666666667,1,1,3.5,2.25,4,1,1,13
0,55.55636,135.2494533,,16.54436,1,1,2.5,3,1,3.5,2.75,4,5,1,14
1,80.8919,286.7381,2.0523,16.6529,1,1,2,3,1,4,3,3,5,1,14
2,66.9086,252.8324,1.27066,16.1031,1,2,3.166666667,3,1,4.5,3.25,3,4,3,14
3,43.8325,124.4412,3.63663,6.0368,3.5,4,4.666666667,4,2,4.5,3.75,1,5,4,14
4,99.6273,367.1896,3.87036,16.3858,5,1,3,1,1,5,3,5,5,4,14
5,47.6945,163.016,3.20408,2.1069,3,5,4.666666667,3,3,5,4,1,5,5,14
6,51.3045,188.022,4.06891,4.2368,5,5,5,4,3,5,4.25,1,5,5,14
7,58.3973,226.168,5.98752,4.1688,5,5,4.166666667,4,3,3.5,3.5,2,5,5,14
8,141.215,557.132,4.95328,8.036,5,5,4.333333333,3,3,4,3.5,4,5,4,14
9,67.64,262.787,2.31993,13.67,5,4,4.333333333,3,3,4.5,3.75,3,5,2,14
0,80.83435,290.2776533,,10.20556,5,3,3.666666667,5,1,4.5,3.75,4,5,4,15
1,122.4154,417.1795,2.77094,10.8861,5,1,2.333333333,1,1,1,1,5,5,1,15
2,103.7553,381.5936,1.73717,10.7695,1,4,3.166666667,5,1,3,3,1,5,5,15
3,40.7096,148.264,1.92049,4.0871,5,5,3.5,1,1,2,1.5,1,5,5,15
4,91.1809,346.794,2.75246,14.3219,5,2,2.333333333,1,1,2,1.5,4,5,1,15
5,38.0415,137.929,5.68649,14.2187,4,3,2.833333333,5,3,2,3,4,5,5,15
6,57.9366,200.073,2.00329,9.3197,2,2,1.833333333,2,1,2,1.75,4,5,3,15
7,44.193,163.854,3.53672,23.9728,3.5,1,1,1,1,1,1,5,5,2,15
8,95.027,312.147,2.41813,31.489,3,3,3,3,4,2,2.75,4,5,5,15
9,75.937,221.487,4.08759,16.668,5,3,3.666666667,5,1,4,3.5,4,5,5,15
0,36.68432,122.3511533,,18.08827,4,5,4.666666667,4,4,5,4.5,1,5,5,16
1,61.6048,227.3095,4.93597,26.6888,4,5,4.833333333,5,5,5,5,5,5,5,16
2,40.8085,148.6698,3.2871,15.4693,4,5,3.666666667,5,5,5,5,1,5,5,16
3,33.7052,116.1612,2.22079,16.0183,1.5,5,4.166666667,2,5,4,3.75,1,5,5,16
4,68.3287,248.883,3.57015,15.6699,2,5,3.833333333,4,4,4.5,4.25,5,5,5,16
5,37.5607,135.5481,2.7541,11.5351,4,5,2.666666667,1,5,3.5,3.25,1,5,5,16
6,51.7952,186.6,4.28627,13.2215,2.5,5,5,5,5,5,5,1,5,5,16
7,45.5428,162.333,2.45247,25.7689,5,5,3.833333333,5,5,1.5,3.25,1,5,5,16
8,79.7714,310.113,2.67074,22.2345,5,5,4.166666667,4,4,1.5,2.75,5,5,5,16
9,39.311,136.451,2.03661,9.02,4,5,4.833333333,5,5,5,5,1,1,5,16
0,114.46027,313.7057533,,6.40372,2,1,2.333333333,1,2,4,2.75,4,3,1,17
1,202.3857,667.8766,1.62041,11.0057,2,1,2.666666667,2,2,4,3,3,2,1,17
2,153.3507,536.4424,1.85403,5.819,2,1,2.166666667,2,3,3.5,3,3,4,1,17
3,40.4105,144.997,3.13654,6.0219,1.5,1,2.666666667,3,2,4,3.25,2,2,2,17
4,408.0132,1445.547,2.56993,3.3373,2,1,2.666666667,2,4,4,3.5,5,3,1,17
5,258.638,895.239,2.68658,6.572,1,1,2.166666667,2,1,4,2.75,5,3,1,17
6,62.835,217.324,3.38654,7.62,1,1,2.333333333,2,2,3,2.5,1,5,1,17
7,60.323,205.196,8.20307,-1.206,2,3,3.333333333,3,3,3.5,3.25,1,2,2,17
8,183.674,654.091,3.77071,9.186,3,4,2.833333333,2,2,3,2.5,3,3,3,17
9,90.016,309.77,2.37092,7.024,2.5,2,2.833333333,2,2,3,2.5,2,3,3,17
0,32.80556,125.4198533,,7.17257,4.5,5,4,2,3,3.5,3,1,1,5,18
1,59.2734,229.1628,2.25326,7.5851,4.5,5,4.333333333,3,4,4,3.75,4,5,5,18
2,42.5623,158.0094,3.99888,5.3373,5,5,4,4,4,4.5,4.25,2,5,5,18
3,31.7404,118.1412,3.82034,2.8239,4,5,4,3,4,3.5,3.5,3,5,5,18
4,66.4939,254.9471,2.83633,4.9039,5,5,3.666666667,3,4,4,3.75,5,5,5,18
5,36.2923,141.2384,2.28587,4.3032,4.5,5,3.5,2,3,4,3.25,4,5,5,18
6,49.7785,187.284,3.75333,0.1897,5,5,3.333333333,3,4,3,3.25,3,5,5,18
7,43.3612,36.199,2.3865,15.1026,2.5,5,4.333333333,4,4,3,3.5,2,5,5,18
8,70.4317,126.397,6.68638,19.2854,2.5,5,3.833333333,4,2,3.5,3.25,4,5,5,18
9,37.443,276.526,2.57017,13.269,4,5,4,2,4,4,3.5,1,5,5,18
0,51.94102,192.3129533,,19.62419,4,5,3.833333333,2,1,5,3.25,3,5,4,19
1,354.3134,1301.1838,2.0376,36.1542,4,1,4,1,5,5,4,5,1,5,19
2,42.623,149.436,1.9861,18.2389,1,4,3.666666667,2,1,4,2.75,1,5,3,19
3,36.7265,128.197,0,12.5194,5,5,4.666666667,2,4,4.5,3.75,1,5,4,19
4,98.5182,377.375,2.93584,13.5367,4.5,2,3.333333333,3,4,3.5,3.5,4,5,3,19
5,117.2511,416.78,2.8866,10.719,2,4,3.5,3,4,5,4.25,5,1,1,19
6,58.303,205.663,1.93766,14.953,1,2,3.333333333,2,2,2,2,4,4,2,19
7,54.791,168.46,2.8202,4.136,4,3,4.166666667,2,4,4,3.5,5,2,2,19
8,139.091,477.85,2.40352,8.336,4.5,3,3.333333333,4,4,2,3,5,5,2,19
9,140.487,528.709,1.53665,11.37,3.5,2,3.833333333,4,4,2.5,3.25,4,3,4,19
0,38.22701,128.3020533,,10.4532,3,5,4,2,3,4,3.25,3,5,5,20
1,59.0091,229.4114,4.00431,15.7689,3,4,4.333333333,3,3,4,3.5,5,4,5,20
2,41.4467,153.6547,1.60332,15.9697,3,4,3.666666667,4,4,2.5,3.25,2,4,5,20
3,35.4413,129.7407,3.00267,11.0697,4.5,5,4,4,3,4.5,4,1,5,5,20
4,67.7871,268.83,2.76913,17.4691,4.5,3,3.5,3,2,4,3.25,5,5,5,20
5,38.5912,140.9559,2.76992,20.3377,3,3,3.166666667,2,3,3,2.75,1,3,3,20
6,49.0301,186.7,3.21986,11.1358,3.5,5,3.333333333,3,3,3.5,3.25,4,4,5,20
7,41.8692,165.69,3.10413,16.4861,3,5,2.666666667,4,4,3,3.5,2,5,5,20
8,74.794,292.202,4.43651,15.419,5,5,4.666666667,4,4,4.5,4.25,5,5,4,20
9,38.745,142.538,2.18682,21.152,5,5,2.666666667,4,2,3.5,3.25,1,5,5,20
0,44.40471,132.0625533,,3.80242,3.5,4,3.666666667,3,3,4,3.5,2,5,4,21
1,157.0608,541.6819,11.819,9.236,3.5,2,2.666666667,3,3,4,3.5,3,3,2,21
2,68.3811,246.4709,1.75315,7.4688,1.5,3,2.833333333,2,3,4,3.25,2,2,2,21
3,36.5646,130.6674,2.0867,2.1732,4.5,3,3.666666667,3,3,5,4,1,2,4,21
4,96.9936,336.248,2.73666,3.3527,5,2,1.666666667,4,2,4,3.5,4,4,2,21
5,39.9083,143.893,4.43697,5.6198,2,2,2.666666667,2,2,3.5,2.75,2,4,4,21
6,75.472,188.952,3.83754,9.2369,3.5,2,3.166666667,4,2,3,3,2,2,3,21
7,44.509,160.521,3.38752,5.936,3,4,3.333333333,2,3,3.5,3,1,2,4,21
8,87.627,306.302,3.63652,8.519,5,2,2.666666667,3,4,3.5,3.5,3,2,2,21
9,67.997,220.998,4.08639,6.886,2.5,3,3.5,2,4,4,3.5,2,2,3,21
0,43.00818,156.8550533,,16.87347,3.5,4,4.166666667,4,2,4,3.5,2,5,5,22
1,94.417,363.0177,1.85287,18.9854,3.5,5,4.5,3,2,4.5,3.5,4,5,5,22
2,65.6944,231.3825,4.76903,4.1203,5,2,2.333333333,4,2,2,2.5,5,5,2,22
3,34.9914,132.0581,2.33692,16.5687,3,4,3.5,3,2,4,3.25,2,5,4,22
4,87.3689,333.9434,3.0537,17.7069,5,3,3.166666667,4,2,3.5,3.25,3,5,2,22
5,45.5302,157.656,9.00324,22.3025,4.5,5,4.833333333,4,2,4.5,3.75,2,5,5,22
6,44.6381,167.163,1.78665,12.4364,5,5,5,5,4,5,4.75,1,5,5,22
7,58.0238,226.363,2.06993,10.4525,5,5,5,5,4,5,4.75,2,5,5,22
8,89.3306,333.307,3.06985,15.8191,5,2,2.333333333,4,1,2.5,2.5,4,5,3,22
9,53.583,203.17,1.55326,8.603,3,5,5,4,2,3,3,3,1,5,22
0,33.53909,120.3983533,,12.08298,5,5,4,5,3,5,4.5,1,5,5,23
1,58.3606,219.3047,1.83559,10.83593,5,5,5,4,5,5,4.75,1,5,5,23
2,39.5612,146.1431,3.18629,7.2869,5,5,5,5,5,5,5,1,5,5,23
3,34.1436,121.8569,1.68745,5.6024,5,5,5,5,5,5,5,1,5,5,23
4,66.6688,256.0885,3.18661,9.8361,5,5,4.833333333,4,4,5,4.5,5,5,5,23
5,37.8223,140.7052,2.4861,4.8699,5,5,5,5,5,5,5,1,5,5,23
6,48.916,183.541,3.28697,9.4703,5,5,4.833333333,4,4,5,4.5,1,5,5,23
7,41.9732,158.29,3.65397,4.0696,5,5,5,5,5,5,5,1,5,5,23
8,76.8303,289.675,3.35429,7.4686,5,5,5,5,5,5,5,4,5,5,23
9,38.7095,145.96,1.80401,5.054,5,5,5,5,5,5,5,1,1,5,23
0,33.16216,126.2982533,,23.34178,5,4,4.333333333,3,4,4,3.75,2,5,5,24
1,57.2987,223.1485,1.52043,28.45643,5,4,4.5,3,5,4,4,3,5,5,24
2,39.4962,152.3502,1.8371,20.6894,5,5,4.5,3,5,4.5,4.25,2,5,5,24
3,34.8735,124.7421,1.57031,22.0032,5,5,4.833333333,2,5,4,3.75,2,5,5,24
4,71.03,273.8163,2.15413,52.2705,5,5,5,2,5,4,3.75,4,5,5,24
5,37.6776,139.0234,9.304,12.1208,5,5,5,2,5,4,3.75,1,5,5,24
6,51.3795,191.103,2.76994,40.5373,5,5,5,4,5,4,4.25,3,5,5,24
7,43.016,163.175,2.22071,24.4861,5,5,5,4,5,5,4.75,2,5,5,24
8,78.3226,306.693,2.33622,58.3398,5,5,5,2,5,4.5,4,4,5,5,24
9,38.484,145.119,1.56996,39.304,5,5,5,5,5,4.5,4.75,3,5,5,24
0,52.7709,194.5879533,,52.34167,4.5,2,2.5,4,4,2,3,1,5,5,25
1,64.83,232.2994,3.70308,55.7362,4.5,1,2.5,3,2,1.5,2,3,4,2,25
2,66.0296,222.1597,1.35353,65.9247,2.5,1,2.833333333,3,2,1,1.75,4,3,1,25
3,62.8859,233.9984,3.92029,17.6369,1.5,2,3,4,3,1,2.25,2,4,4,25
4,73.7469,286.0683,4.0372,49.6037,3.5,3,2.833333333,3,3,1,2,4,4,5,25
5,37.8614,135.404,5.58757,26.4386,4,5,3,3,4,1,2.25,1,5,4,25
6,63.959,237.528,2.9699,41.9704,5,1,3.333333333,5,3,1,2.5,4,5,4,25
7,44.526,157.458,9.81962,8.503,3,5,3.5,5,5,1.5,3.25,2,5,5,25
8,79.305,308.515,4.66873,15.303,5,2,3.166666667,4,4,1,2.5,5,5,5,25
9,39.467,149.415,4.45328,16.052,3.5,3,2.666666667,3,4,1,2.25,3,5,5,25
0,107.59439,372.5610533,,21.33966,2,5,4.666666667,5,4,4.5,4.5,1,4,4,26
1,60.293,220.5608,2.22047,16.7658,2,5,4.5,4,4,4.5,4.25,1,4,5,26
2,51.7357,151.7548,1.70415,19.3218,5,5,4.666666667,4,4,4.5,4.25,2,4,5,26
3,33.843,120.4603,2.10406,13.021,5,5,4.666666667,5,4,4.5,4.5,1,4,5,26
4,82.7795,307.0628,1.8709,18.3901,5,5,4.666666667,5,4,4,4.25,4,4,4,26
5,38.9068,138.855,2.25434,9.6371,4.5,5,4.5,5,5,3.5,4.25,1,5,4,26
6,50.563,176.535,1.22084,13.2531,5,5,4.5,5,5,4,4.5,4,5,5,26
7,42.9476,157.335,1.80423,7.3854,4.5,5,4.666666667,5,5,4.5,4.75,1,5,5,26
8,82.1267,305.825,1.9033,11.0756,5,5,4.5,5,5,3.5,4.25,5,4,5,26
9,55.8602,208.438,1.93653,7.0686,5,5,4.666666667,5,5,3.5,4.25,4,5,5,26